stop_id,stop_name,latitude,longitude,routes
249497682,CMWSSB Division 176,13.0109976,80.2591938,29C
249497696,"Sardar Patel Road, Zone 13 Adyar (Route 23C)",13.0070054,80.2583614,23C
256039818,"Anna Salai (Mount Road), Ward 160",13.0080754,80.2093905,M18C
257932256,Thiru Vi Ka Street,13.0936754,80.2508682,29C
2587530809,Dr Muthulakshmi Salai (Route 29C) #2,13.0002744,80.2564084,29C
259662367,CMWSSB Division 119 - Chennai Corporation,13.0524541,80.26382,5C
277912055,"CMWSSB Division 169, Zone 14 Perungudi",12.9652732,80.2071039,"M1,V51"
278744710,"Taramani Road, Zone 13 Adyar (12.9760N)",12.975951,80.2210664,"51,D51ET,D70,D70CT,S13,V51"
278745849,"Mount - Medavakkam Road, Nanganallur (Route 18D)",12.9682899,80.18948,18D
279150540,"Medavakkam Main Road, Ward 161 (Route 14M)",12.9946395,80.200193,14M
299808136,"Besant Nagar 1st Avenue, Zone 13 Adyar",13.0002825,80.2653435,23C
299882966,"1st Cross Road, Ward 165",12.9810098,80.2066688,S13
300134382,"Mount - Medavakkam Road, Pazhavanthangal",12.988501,80.197819,"14M,18D"
300316947,"Racecourse Road, Zone 13 Adyar",13.0081325,80.2133106,S570
300370338,"Vanuvampet South New Street, Ward 165",12.9816619,80.1957195,14M
3016129434,"Velachery Mudhanmai Salai, Chitlapakkam (12.9226N)",12.9226099,80.1436734,"51,V51"
3016141192,"Velachery Mudhanmai Salai, East Tambaram (Route V51) #2",12.9227845,80.1330579,V51
3016141193,"Velachery Mudhanmai Salai, East Tambaram (12.9229N)",12.9228855,80.1311754,"51,V51"
3016144953,"Velachery Mudhanmai Salai, East Tambaram (12.9234N)",12.9234246,80.1206459,"51,V51"
301736187,"Scheme Road, Zone 9 Teynampet",13.0414948,80.2476472,"11G,23C"
301736902,Cathedral Road - CMWSSB Division 118 (Route 27D) #2,13.0479032,80.2538704,27D
301736913,CV Raman Road - CMWSSB Division 123,13.0351077,80.2571309,5C
303284248,General Hospital Road (Route 15B) #2,13.0812612,80.2718576,15B
