stop_id,stop_name,latitude,longitude
186741980,Stop_186741980,13.0578356,80.2427521
243049436,Stop_243049436,13.0634424,80.2434914
243064594,Stop_243064594,13.0608709,80.2652174
246866326,Stop_246866326,12.9873013,80.2594187
247675520,Stop_247675520,13.0349762,80.2307357
248467432,Stop_248467432,13.0513061,80.2305555
248545141,Stop_248545141,13.1076189,80.2440927
249497682,Stop_249497682,13.0109976,80.2591938
249497696,Stop_249497696,13.0070054,80.2583614
249497892,Stop_249497892,13.0148091,80.2593497
250319253,Stop_250319253,13.0363377,80.2394517
250327570,Stop_250327570,13.0379784,80.2276266
252171269,Stop_252171269,12.9949254,80.1993669
254142204,Stop_254142204,13.1041595,80.2931903
254142280,Stop_254142280,13.1023579,80.2715583
254143113,Stop_254143113,13.1089336,80.2820595
256039818,Stop_256039818,13.0080754,80.2093905
256203093,Stop_256203093,12.9259317,80.1191544
257932256,Stop_257932256,13.0936754,80.2508682
259662367,Stop_259662367,13.0524541,80.26382
262666364,Stop_262666364,13.0505637,80.2796983
273459875,Stop_273459875,12.907558,80.2283136
277375984,Stop_277375984,12.9912772,80.0951151
277912055,Stop_277912055,12.9652732,80.2071039
278744710,Stop_278744710,12.975951,80.2210664
278745849,Stop_278745849,12.9682899,80.18948
278746364,Stop_278746364,12.9754924,80.183263
278747097,Stop_278747097,12.9830658,80.1888463
279150540,Stop_279150540,12.9946395,80.200193
290656624,Stop_290656624,13.1054562,80.2079273
293396820,Stop_293396820,13.0678104,80.2269115
299808136,Stop_299808136,13.0002825,80.2653435
299882966,Stop_299882966,12.9810098,80.2066688
300134382,Stop_300134382,12.988501,80.197819
300316947,Stop_300316947,13.0081325,80.2133106
300370338,Stop_300370338,12.9816619,80.1957195
301736148,Stop_301736148,13.0389089,80.2500396
301736149,Stop_301736149,13.0380814,80.2559271
301736152,Stop_301736152,13.036222,80.2552101
301736165,Stop_301736165,13.0387535,80.2588492
301736187,Stop_301736187,13.0414948,80.2476472
301736898,Stop_301736898,13.0379526,80.2468797
301736902,Stop_301736902,13.0479032,80.2538704
301736903,Stop_301736903,13.0458825,80.2566441
301736912,Stop_301736912,13.0464693,80.2605344
301736913,Stop_301736913,13.0351077,80.2571309
303010139,Stop_303010139,13.0332207,80.2529435
303010141,Stop_303010141,13.0355237,80.2474418
303284240,Stop_303284240,13.081757,80.2767558
303284248,Stop_303284248,13.0812612,80.2718576
303510894,Stop_303510894,13.0298352,80.2378848
303512414,Stop_303512414,13.0195637,80.2246585
303536869,Stop_303536869,13.0292235,80.2541619
303536872,Stop_303536872,13.0293892,80.2598201
303569588,Stop_303569588,13.0290452,80.2492676
303695784,Stop_303695784,13.0737672,80.2618156
303695785,Stop_303695785,13.0726877,80.2625412
303695815,Stop_303695815,13.0783875,80.2636552
304908971,Stop_304908971,13.035344,80.2505226
304920824,Stop_304920824,13.0036646,80.2007035
304920825,Stop_304920825,13.0024998,80.2007856
304921944,Stop_304921944,13.0779219,80.2623857
305478863,Stop_305478863,12.9656695,80.2037268
306551393,Stop_306551393,13.0192595,80.2242262
306551395,Stop_306551395,13.0405526,80.2470139
306551396,Stop_306551396,13.0373003,80.2463991
308301022,Stop_308301022,13.0467908,80.2482982
308313775,Stop_308313775,13.0191024,80.2063609
308317064,Stop_308317064,13.0348314,80.2118803
308811912,Stop_308811912,12.9816928,80.1956168
308917111,Stop_308917111,12.9880075,80.1856076
309062093,Stop_309062093,13.0702882,80.2738035
309062094,Stop_309062094,13.0706454,80.2736995
309185794,Stop_309185794,13.0671092,80.2685713
309185812,Stop_309185812,13.0627904,80.2636986
309185820,Stop_309185820,13.0592286,80.2597052
309185827,Stop_309185827,13.0593116,80.259461
309323593,Stop_309323593,13.0627272,80.2446808
309323867,Stop_309323867,13.055035,80.2493071
309812160,Stop_309812160,13.0076778,80.2099257
310100943,Stop_310100943,13.0068649,80.2407247
310102879,Stop_310102879,13.0034175,80.2475947
310591980,Stop_310591980,12.9699902,80.1863409
310592291,Stop_310592291,12.9661338,80.1885663
310592748,Stop_310592748,12.9647635,80.1964403
310593525,Stop_310593525,12.9654812,80.2003039
310593794,Stop_310593794,12.9636419,80.2153047
310729808,Stop_310729808,13.0445134,80.2685481
312031432,Stop_312031432,13.0068437,80.2493803
312686129,Stop_312686129,13.0473146,80.2663311
313106870,Stop_313106870,13.0319681,80.2111904
313135889,Stop_313135889,13.0565054,80.2549392
