route_number,from_stop,to_stop,distance_km
5C,5460685950,1183431007,7.222552603646277
5C,1183431007,243064594,6.66580277653531
5C,243064594,301736152,2.947419429504507
5C,301736152,1311558791,2.55280165081451
5C,1311558791,303010139,2.959540405189801
5C,303010139,418116043,1.1094430216908053
5C,418116043,414712727,1.591269127875597
5C,414712727,259662367,0.25325604674322616
5C,259662367,1685049537,1.0126215100087654
5C,1685049537,1311558793,0.3892634021776849
5C,1311558793,7416129840,0.05020819167479744
5C,7416129840,1311558794,0.4542805214930352
5C,1311558794,7412932327,1.421033821235149
5C,7412932327,301736913,0.44298684882549194
5C,301736913,315888034,2.043739722444969
5C,315888034,414712723,0.26775199457789634
5C,414712723,7412932329,4.208694218243303
5C,7412932329,1311558790,4.474373710256476
5C,1311558790,7412932330,4.987321383646538
5C,7412932330,7412932331,0.9513556051213211
5C,7412932331,325191477,0.8685737027831516
5C,325191477,310102879,0.3082837306458047
5C,310102879,9506980944,0.5988004586126364
5C,9506980944,1183430650,0.009204289558391686
5C,1183430650,1183430887,0.8062869188457521
5C,1183430887,7412932332,0.6872763262070863
5C,7412932332,7424295245,0.6769655897435489
147C,247675520,7796477442,11.935234521391935
147C,7796477442,7869100700,0.4787438614369288
147C,7869100700,9894539908,11.98211748427907
147C,9894539908,7796477452,10.804476328277898
147C,7796477452,9819010214,10.349332187118934
147C,9819010214,7796477468,9.547893589729332
147C,7796477468,729821770,9.541356311608796
147C,729821770,7796505766,8.732054212191832
147C,7796505766,2197496797,8.573984541627171
147C,2197496797,7869100702,7.8976551332964355
147C,7869100702,5394814347,1.2935645258164454
147C,5394814347,1975496434,6.638279317418721
147C,1975496434,186741980,0.13121481399091256
147C,186741980,5373987234,5.904146442206834
147C,5373987234,5227401703,0.4730498711991433
147C,5227401703,7255708042,5.442551753906639
147C,7255708042,344411089,0.6477311353046039
147C,344411089,5338617221,4.2513462103068616
147C,5338617221,243049436,4.258434582250873
147C,243049436,5338612406,3.812338543867544
147C,5338612406,7794528406,3.0279562910953
147C,7794528406,7843267874,2.2008099752989336
147C,7843267874,4421967489,2.1888213786073107
147C,4421967489,7843267872,1.5938966395303493
147C,7843267872,7869100703,0.7106602791540712
147C,7869100703,9894539905,0.4294974875549397
147C,9894539905,7869100704,0.024132776050665314
147C,7869100704,7869148874,0.04926233568512941
147C,7869148874,4421948892,0.5352539820991494
147C,4421948892,293396820,0.9458672064044531
147C,293396820,3216990971,2.1241740756758953
147C,3216990971,7869208200,2.133408660814635
147C,7869208200,4421925892,2.2883772422636532
147C,4421925892,7843267873,3.028947121053301
147C,7843267873,3215503639,2.9147521456880017
147C,3215503639,3030620399,2.92426551967488
147C,3030620399,309323593,2.871471454762054
147C,309323593,6274949832,2.910642550838402
147C,6274949832,7871877992,3.2765293269771205
147C,7871877992,941583422,3.2792680014738496
147C,941583422,9419760484,0.33473610526495845
147C,9419760484,5336303647,0.002101988499920354
147C,5336303647,9894539903,0.6626903022830727
147C,9894539903,9894539902,0.415853209531447
147C,9894539902,5338616524,0.44290605327699895
147C,5338616524,5338656232,0.2545640498662407
147C,5338656232,5239594891,1.2536605427466252
147C,5239594891,5394822729,0.9543487117350316
147C,5394822729,7796505767,1.8853780408173817
147C,7796505767,9370309976,0.28894678449334976
147C,9370309976,7796477453,1.5343444247391533
147C,7796477453,7185834751,0.7099204805375386
147C,7185834751,7869208199,0.46309449001632286
147C,7869208199,7796477443,0.7615970877671704
147C,7796477443,7796211329,0.8999820367508267
D70,7796477468,7796505766,1.206844320302269
D70,7796505766,278744710,13.63390371085243
D70,278744710,9370267242,0.7875740443319345
D70,9370267242,5394814347,12.14903022888038
D70,5394814347,5373987234,0.7705753654736601
D70,5373987234,313159416,10.992749483567188
D70,313159416,9370267244,0.8652820944004886
D70,9370267244,5400381038,9.567886244174343
D70,5400381038,4221572806,8.843378322656715
D70,4221572806,5400380243,7.321581146678966
D70,5400380243,3264712469,6.897389298017978
D70,3264712469,5400382521,5.643659125156609
D70,5400382521,9370267245,4.8592844631159355
D70,9370267245,9412862312,2.3123353931238904
D70,9412862312,5355818030,1.8675352074557379
D70,5355818030,9412862313,1.8689426578350896
D70,9412862313,5228340704,1.2564210589130647
D70,5228340704,5228342635,0.03499982393942289
D70,5228342635,5227454884,0.5833783584370006
D70,5227454884,1024562407,1.8701267547972458
D70,1024562407,5318529343,1.3098855708200519
D70,5318529343,4221779489,3.7321777820753788
D70,4221779489,1007625832,3.9503500823197197
D70,1007625832,5486499215,4.5379979380850655
D70,5486499215,366083028,0.24862317875840625
D70,366083028,5318530216,5.013487275674938
D70,5318530216,5631301429,5.007948711008009
D70,5631301429,5318537692,6.014887507960602
D70,5318537692,9514055815,5.735448810107595
D70,9514055815,5320093328,8.143674606680902
D70,5320093328,365983874,8.175521123728242
D70,365983874,5239594891,8.68699540713963
D70,5239594891,5394822729,0.9543487117350316
D70,5394822729,7433365963,9.126879672538843
D70,7433365963,7796505767,10.089517607092299
D70,7796505767,2157590801,11.197367970142938
D70,2157590801,9370309976,11.381870487837318
D70,9370309976,5631301424,11.380260653740292
D70,5631301424,5631301118,0.8687513913285255
D70,5631301118,4739613829,9.464601249932306
D70,4739613829,11959583813,10.347093406248236
D70,11959583813,9412787731,0.4069588088777301
D70,9412787731,9370267243,0.006542951037442697
D70,9370267243,11959599075,0.5160236893815894
D70,11959599075,11959583813,0.8473353685152358
D70,11959583813,11959599076,1.7683672068143763
D70,11959599076,11959583808,1.7755519968375892
D70,11959583808,11959593354,4.021620386650664
D70,11959593354,11959593355,0.44500487867214084
D70,11959593355,11959593356,0.6428855275748926
D70,11959593356,11959593357,0.853358333392304
D70,11959593357,11959593358,0.005391666656955474
D70,11959593358,11959593359,0.4368383427749912
D70,11959593359,11959593361,0.008535487097426884
D70,11959593361,11959617427,1.248501373923009
D70,11959617427,11959617428,0.008591024730734363
D70CT,278744710,313159416,1.673913857837764
M70,5400382522,246866326,10.104172820885106
M70,246866326,5400382521,9.409284475386182
M70,5400382521,5631301107,9.4147616432943
M70,5631301107,5400381618,8.430136290008406
M70,5400381618,322719303,8.133549997050956
M70,322719303,5228342635,6.638438304185075
M70,5228342635,5486341834,6.656352219891869
M70,5486341834,5227454884,6.365337808071744
M70,5227454884,9500730219,6.034394737937029
M70,9500730219,4221779489,5.89871833757008
M70,4221779489,9500730220,5.913471589889007
M70,9500730220,319489527,0.29600922929534823
M70,319489527,5631301118,3.524082016376039
M70,5631301118,313159416,0.04490692343088573
M70,313159416,1676204804,3.5749865552449718
M70,1676204804,5631301114,2.0717505071466196
M70,5631301114,9500730228,1.9484922608604367
M70,9500730228,3298619179,2.284302572634246
M70,3298619179,9370524481,2.3986526048540933
M70,9370524481,9399815496,1.0783966805429017
M70,9399815496,5631301107,1.9243465508269242
M70,5631301107,9399815494,1.9265378564765132
M70,9399815494,9903138577,9.929295552610014
M70,9903138577,9500730217,9.59770181931514
M70,9500730217,9500680215,0.5287384979554647
M70,9500680215,9500680214,0.42833306924970216
M70,9500680214,2157590801,2.3325950158302526
M70,2157590801,9370267244,0.0431757145904218
M70,9370267244,4221572806,0.7864451029612477
M70,4221572806,309812160,0.5048238677251838
M70,309812160,1007625852,0.008879881355817824
M70,1007625852,9370267245,0.9773406405522556
M70,9370267245,5355818030,0.4450521753940112
M70,5355818030,5228340704,0.6418600722810378
M70,5228340704,308317064,1.2931101181380715
M70,308317064,1024562407,0.02575309263427216
M70,1024562407,5318530216,2.101375260731519
M70,5318530216,5318529343,0.7946258404469937
V51,9400398388,2237592529,16.93940760278939
V51,2237592529,9400398389,16.98468087432065
V51,9400398389,9400398338,0.5056984445167237
V51,9400398338,3016144953,0.0065942920653069385
V51,3016144953,9412758115,1.3477873150179374
V51,9412758115,3016141192,0.004165103136648945
V51,3016141192,9400398339,0.20452208555295617
V51,9400398339,3016141193,0.007553406164524916
V51,3016141193,9400398340,1.3554943051507224
V51,9400398340,3016129434,0.006621399050064001
V51,3016129434,9400398341,1.1848780385326665
V51,9400398341,5090924222,0.00678098451217638
V51,5090924222,9400398344,0.5142896476312567
V51,9400398344,7966811036,0.005529380271538036
V51,7966811036,9400398347,1.319856382044062
V51,9400398347,1693491914,0.004407601159434649
V51,1693491914,9526179499,2.428192646035532
V51,9526179499,9412787718,1.1360435477509612
V51,9412787718,9412787720,0.8327741386743047
V51,9412787720,9412787721,1.1669365425595306
V51,9412787721,9412787723,0.5189936381532421
V51,9412787723,9412787724,0.011699254977456674
V51,9412787724,338250257,0.4493735702096753
V51,338250257,9412787725,0.11035815704219383
V51,9412787725,9412787728,0.32880299889773884
V51,9412787728,9412787729,0.13967519989041277
V51,9412787729,277912055,0.4367579688599873
V51,277912055,9412787727,0.013473387775489861
V51,9412787727,9400398383,0.9917447318952125
V51,9400398383,1949567462,0.0065891718363162745
V51,1949567462,9400398385,0.8856554399994375
V51,9400398385,1764308008,0.007515428508048524
V51,1764308008,278744710,0.5689151519426847
V51,278744710,9370267242,0.7875740443319345
V51,9370267242,9412787731,0.4027658388156368
V51,9412787731,9370267243,0.006542951037442697
V51,9370267243,9368672356,0.5941280755252318
V51,9368672356,313159416,0.005026653211178448
V51,313159416,2158620129,0.8126470611620603
V51,2158620129,5631301426,0.00837237867715048
V51,5631301426,9412787732,0.9161987898273618
V51,9412787732,9412787734,1.2978333253780947
V51,9412787734,3264883515,0.00907978266249159
V51,3264883515,9412787735,0.7393125086857226
V51,9412787735,3263010049,0.0023984455989699734
V51,3263010049,9412787736,0.82478362196902
V51,9412787736,6497450229,0.6988690389527903
V51,6497450229,11959583813,5.77888124810743
D51ET,278744710,313159416,1.673913857837764
S570,577362217,9903138577,0.770506344144787
S570,9903138577,5400382522,0.007025780159184731
S570,5400382522,5400382521,0.794661846868984
S570,5400382521,9412862312,2.635959156476149
S570,9412862312,9412862313,0.008773715082207364
S570,9412862313,5228342635,1.2441713461697574
S570,5228342635,5227454884,0.5833783584370006
S570,5227454884,4221779489,0.5926844610633311
S570,4221779489,366083028,0.9225247956299097
S570,366083028,5631301429,0.0058228752060633
S570,5631301429,9514055815,1.044291028077999
S570,9514055815,365983874,0.710447414134401
S570,365983874,300316947,1.572590249919252
S570,300316947,9368672356,2.0396573173620975
S570,9368672356,5631301118,0.04424207424078626
S570,5631301118,9399662898,0.012882431070606937
S570,9399662898,4358676514,0.4510318874400046
S570,4358676514,9412787731,0.14839636787456917
S570,9412787731,9370524480,1.1436793264438547
S570,9370524480,9500730227,0.003492486848559624
S570,9500730227,4172727623,0.48283216320385536
S570,4172727623,9500730225,0.009843873062676976
S570,9500730225,3298619179,0.6500596348663457
S570,3298619179,9399815495,1.3358568391233707
S570,9399815495,9399815493,0.001677442816271384
S570,9399815493,9500730223,0.9559589659062844
S570,9500730223,7412854052,0.8229519782469786
S570,7412854052,1457114931,0.7082099796502135
S570,1457114931,2082925106,2.507498952872604
S570,2082925106,2083090321,0.8415861770491871
S570,2083090321,5093966251,4.593891467975944
S570,5093966251,7113711101,12.55244066118232
S570,7113711101,11959583813,21.876632822090958
S570,11959583813,11959583808,0.007237922586369051
51,9400398389,10120161757,12.29254285835673
51,10120161757,9401706170,0.010167534212673236
51,9401706170,9400398392,11.99314753107845
51,9400398392,8601096138,11.64719629144898
51,8601096138,9402008106,0.01700295594566257
51,9402008106,9400398391,11.653690787301187
51,9400398391,9402008107,10.99945387897091
51,9402008107,9400398338,11.250118906844824
51,9400398338,1949567464,11.259541607055837
51,1949567464,3016144953,11.256582458151536
51,3016144953,9400398339,1.1426995462778622
51,9400398339,9402008108,9.007541172923611
51,9402008108,9402008109,0.011052933918955041
51,9402008109,3016141193,9.013159009169048
51,3016141193,9400398340,1.3554943051507224
51,9400398340,9402008112,7.412575808238191
51,9402008112,3016129434,7.410877053604848
51,3016129434,9402008111,7.422504946125683
51,9402008111,9402008113,1.247667339579429
51,9402008113,9400398343,6.255966162656107
51,9400398343,9400398342,0.005517067675077587
51,9400398342,2077234674,6.266064013278059
51,2077234674,9400398341,5.484508130026196
51,9400398341,9402008114,5.191976592336846
51,9402008114,5090924222,5.1919992699344455
51,5090924222,1330414243,5.191677115387429
51,1330414243,9400398344,4.680429919118224
51,9400398344,9402008116,4.17277630666865
51,9402008116,7966811036,4.1711660340837255
51,7966811036,9402008115,4.179831854697218
51,9402008115,9400398346,3.2898653822670982
51,9400398346,9402032618,3.175661690882088
51,9402032618,9402032617,0.009341481224025054
51,9402032617,9400398345,3.1839210175042663
51,9400398345,9400398347,0.3382829272304615
51,9400398347,9402032620,1.8718401538460931
51,9402032620,1693491914,1.8704477093311538
51,1693491914,9402032619,1.8445825928900568
51,9402032619,9402032622,0.5940637971232914
51,9402032622,9400398349,0.6462461936715812
51,9400398349,9402032621,0.6442360530829384
51,9402032621,9400398348,0.643139214553646
51,9400398348,9402032623,0.6246821361176299
51,9402032623,694064191,1.4465024816506464
51,694064191,1693497698,1.44943997119626
51,1693497698,1937584276,2.469171850757942
51,1937584276,9402032625,2.8529803845297255
51,9402032625,9402032624,0.005461525424697062
51,9402032624,9400398352,2.8425393142086195
51,9400398352,9400398354,0.5491270074717086
51,9400398354,9402032626,4.550789170263307
51,9402032626,614009832,0.014635027888798993
51,614009832,9400398373,4.613420269539831
51,9400398373,9402032627,6.065519083809118
51,9402032627,9400398372,6.059424836640068
51,9400398372,3016127769,6.059599730243606
51,3016127769,978589169,6.6472240015457675
51,978589169,9402032628,7.5803808638332235
51,9402032628,1666841444,7.575498901948896
51,1666841444,9402032629,7.575695924479895
51,9402032629,9400398375,7.776273608039676
51,9400398375,9402032630,7.9579701833653465
51,9402032630,9400398374,7.951031148591605
51,9400398374,9400398377,0.7838560048418797
51,9400398377,3016141194,8.306959569408393
51,3016141194,978588586,8.304516202005207
51,978588586,9402032631,9.417434609681148
51,9402032631,9404967419,9.788954476137476
51,9404967419,3016144952,9.789243432350109
51,3016144952,9400398389,0.5174600398597247
51,9400398389,9400398378,9.90478776662434
51,9400398378,9400398380,0.5315803528550384
51,9400398380,9400398379,0.007932802726586195
51,9400398379,9400398382,0.5659344158932852
51,9400398382,9400398381,0.005065446376135112
51,9400398381,9400398383,1.2480689065137607
51,9400398383,1949567462,0.0065891718363162745
51,1949567462,9400398385,0.8856554399994375
51,9400398385,1764308008,0.007515428508048524
51,1764308008,278744710,0.5689151519426847
14M,9417619445,9526179484,8.792055319983715
14M,9526179484,9526179499,2.1536184652343637
14M,9526179499,9417619433,6.505107800817532
14M,9417619433,9412787718,5.3700856599580495
14M,9412787718,9417619431,3.864049437192043
14M,9417619431,9412787720,3.0344726341082007
14M,9412787720,9417619430,1.9113983519809117
14M,9417619430,9417619429,0.0043209938055269095
14M,9417619429,9417619441,0.5180319963940156
14M,9417619441,278745849,0.006104863969213262
14M,278745849,9417619442,0.013148506941362253
14M,9417619442,7802828807,0.5286319879370521
14M,7802828807,9417619443,0.5282049234247597
14M,9417619443,9368655291,0.5286921992952187
14M,9368655291,9417619440,0.7881834726816543
14M,9417619440,300370338,1.890792528563551
14M,300370338,308811912,0.011646230560206495
14M,308811912,9417619438,3.0103999115346514
14M,9417619438,300134382,3.804119174735987
14M,300134382,9417619436,4.639518252509533
14M,9417619436,9417619433,5.369448338985861
14M,9417619433,279150540,0.009846710013583603
14M,279150540,9526179500,6.450277390681822
14M,9526179500,9417619444,6.693841358170238
14M,9417619444,1711224934,6.691369887638354
14M,1711224934,401769773,6.690967576837922
14M,401769773,9417619445,0.030084959961984264
14M,9417619445,694064191,8.59869326525298
M1,9676647822,246866326,8.651491517192358
M1,246866326,5631301107,0.008169594616038318
M1,5631301107,322719303,0.4423673578525187
M1,322719303,9412787723,6.8789269268796405
M1,9412787723,5486341834,6.8771823376444905
M1,5486341834,9412787724,6.882715518606108
M1,9412787724,9500730228,6.216112093244416
M1,9500730228,338250257,5.7699113692811865
M1,338250257,9412787725,0.11035815704219383
M1,9412787725,9399815496,4.815842949320639
M1,9399815496,9412787728,4.503803056661355
M1,9412787728,9399815494,4.5013027009832065
M1,9399815494,9412787729,4.6196530565481595
M1,9412787729,10120161757,2.1749255922168955
M1,10120161757,277912055,1.8447608807734686
M1,277912055,9401706170,1.849789844102467
M1,9401706170,9412787727,1.8558883387397627
M1,9412787727,8601096138,1.4722037968636512
M1,8601096138,9400398383,0.8888937453238136
M1,9400398383,9402008106,0.8879140403453262
M1,9402008106,1949567462,0.8872938233786436
M1,1949567462,9400398385,0.8856554399994375
M1,9400398385,2166705605,0.9195219260656649
M1,2166705605,310593794,0.045037663312416897
M1,310593794,1764308008,0.9355215139767948
M1,1764308008,277912055,1.4458424038518243
M1,277912055,9500730227,1.9875596438850276
M1,9500730227,442506948,1.9993998797373798
M1,442506948,9370524480,1.9994872138340527
M1,9370524480,9412787728,2.2055681787338806
M1,9412787728,4172727623,2.6886349769329394
M1,4172727623,9500730225,0.009843873062676976
M1,9500730225,305478863,2.7456880471811003
M1,305478863,338250257,0.36665975008419466
M1,338250257,9399662897,3.507393556867521
M1,9399662897,310593525,3.514611152908113
M1,310593525,3298619178,3.51293949122203
M1,3298619178,9412787723,3.9282036595262824
M1,9412787723,3298619179,4.140997116836435
M1,3298619179,310592748,4.13363658923384
M1,310592748,4358666333,4.429846889867884
M1,4358666333,9417619438,5.789327391707059
M1,9417619438,5631301114,5.792809492034152
M1,5631301114,9399815495,0.9994532290460798
M1,9399815495,9676647822,6.732092743660919
M1,9676647822,9399815493,6.731276710852465
M1,9399815493,9500730223,0.9559589659062844
M1,9500730223,9500730222,0.3395464683640048
M1,9500730222,9370524481,0.004770800741712158
M1,9370524481,1240545660,0.5433639273333092
M1,1240545660,246866326,0.7595735888876165
M1,246866326,5631301107,0.008169594616038318
3,2237592529,5631301107,6.098237115738116
3,5631301107,4172727623,3.812559742029017
3,4172727623,246866326,3.816558447357019
3,246866326,246866326,0.0
3,246866326,2157590801,4.80969994459666
3,2157590801,5631301107,4.809558995593719
3,5631301107,9370267244,4.848354297498738
3,9370267244,6497450229,4.356111140119908
18D,9676647822,7412932325,18.112041698466243
18D,7412932325,9417619444,13.361553903372771
18D,9417619444,9522345426,3.811836140051192
18D,9522345426,310592291,0.08654136902564341
18D,310592291,9417619433,3.4132109336109244
18D,9417619433,278745849,3.153840018887997
18D,278745849,279150540,3.1515051814946258
18D,279150540,9417619441,3.1505461305100244
18D,9417619441,300370338,1.6321380294850618
18D,300370338,9368655291,1.1029796789087183
18D,9368655291,308811912,1.1014944407253533
18D,308811912,7802828807,1.1018898845419691
18D,7802828807,9417619430,0.013254257602693938
18D,9417619430,308811912,1.1123961560778528
18D,308811912,9417619438,3.0103999115346514
18D,9417619438,300370338,3.010608047348153
18D,300370338,5356742026,10.228468564737717
18D,5356742026,9522345425,12.212336085195739
18D,9522345425,9514055804,2.837561176355758
18D,9514055804,365279752,8.522643164849674
18D,365279752,300134382,8.527857549937975
18D,300134382,9676647822,3.8165517908333246
18D,9676647822,279150540,4.545756535839956
18D,279150540,9417619433,0.009846710013583603
18D,9417619433,9417619444,0.680037401139113
18D,9417619444,9514055815,2.44052160345335
18D,9514055815,306551393,0.9022562783972663
18D,306551393,9514067017,1.7822925940785013
18D,9514067017,306551396,1.3473717625069335
18D,306551396,308301022,1.0751606759641505
18D,308301022,316244810,1.3956622269438501
18D,316244810,2482072878,1.4094229791009218
18D,2482072878,2482072922,1.7150949109419449
18D,2482072922,7412932325,1.5283985598354561
76,9412862312,9526179484,13.177345598385124
76,9526179484,9526179499,2.1536184652343637
76,9526179499,9412862313,11.100511049792857
76,9412862313,9417619430,7.225031143378615
76,9417619430,9412787720,1.9113983519809117
76,9412787720,9417619442,1.400490826196328
76,9417619442,9417619441,0.0070794140703118145
76,9417619441,9417619443,0.012082657072879826
76,9417619443,278745849,0.018157287274452462
76,278745849,9417619438,1.3976694731156405
76,9417619438,7802828807,1.917970021608289
76,7802828807,9417619436,2.7552258840770025
76,9417619436,9368655291,2.7560261839686446
76,9368655291,9526179500,3.8390691375348647
76,9526179500,300370338,4.928517507298211
76,300370338,308811912,0.011646230560206495
76,308811912,9402032622,7.025458983497412
76,9402032622,9522345426,5.1079492114424525
76,9522345426,9402032621,5.1053311492542575
76,9402032621,9526179484,0.05309176281587434
76,9526179484,9522345425,5.09171390211128
76,9522345425,5228342635,6.919042387703665
76,5228342635,4221779489,1.1674527101801195
76,4221779489,5400380243,6.13552552556077
76,5400380243,5227454884,5.574039197413855
76,5227454884,5400382521,4.362460914326337
23C,9570575688,1971862196,10.092949012480672
23C,1971862196,1280328281,7.809373826412512
23C,1280328281,299808136,7.928953446990469
23C,299808136,5356742026,6.124174221511863
23C,5356742026,3217004939,6.171624269185221
23C,3217004939,301736187,4.842885953609645
23C,301736187,389516314,0.5243445821071799
23C,389516314,3263015885,2.5763875805961636
23C,3263015885,303695784,6.7391035916194335
23C,303695784,417750654,8.660839367954829
23C,417750654,365279752,6.023801130968687
23C,365279752,2482014616,1.825011902983487
