334713159,Malar%20%Hospital,13.0078478,80.2587288
343721497,%0b86%%0bb4%%0bcd%%0bb5%%0bbe%%0bb0%%0bcd%%20%%0baa%%0bc7%%0b9f%%0bcd%%0b9f%%0bc8%,13.0386195,80.2588399
344411089,Sterling%20%Road,13.0635006,80.2434529
353719171,,12.9951542,80.1873759
355515114,Chola%20%Sheraton,13.0462093,80.256558
355550113,Egmore%20%Station,13.0775116,80.2618805
356274121,Ice%20%House%20%stop,13.049045,80.2804835
356277093,LIC,13.0665178,80.2687218
357233537,Kannagi%20%Statue,13.0563899,80.2817387
357233543,Kannagi%20%Statue,13.0567968,80.2820086
360807238,,13.0594652,80.2476713
360807295,Taj%20%Hotel,13.0594687,80.2480638
362227770,MRC%20%Nagar,13.0207736,80.2699092
365279752,DMS,13.0470132,80.2487062
365957307,Nandambakkam,13.0166571,80.1892332
365983874,Saidapet%20%Court,13.013981,80.2265266
366855005,DPI,13.0672505,80.253857
368390910,Muttukaadu,12.8238617,80.2401637
370969649,%0b95%%0bbe%%0b9f%%0bcd%%0b9f%%0bc1%%0baa%%0bcd%%0baa%%0bbe%%0b95%%0bcd%%0b95%%0bae%%0bcd%,13.0408567,80.1280794
370969652,,13.0407272,80.1279797
370969655,%0b85%%0baf%%0bcd%%0baf%%0baa%%0bcd%%0baa%%0ba9%%0bcd%%0ba4%%0bbe%%0b99%%0bcd%%0b95%%0bb2%%0bcd%,13.0381632,80.135238
370969661,,13.0368549,80.1422989
370969664,%0baa%%0bcb%%0bb0%%0bc2%%0bb0%%0bcd%,13.0354754,80.1542326
370969668,,13.0365785,80.1426413
370969671,Porur%20%Flyover,13.0349841,80.1551858
370969686,,13.0322785,80.1637329
370969689,,13.0320596,80.1635994
370969697,Mugalivakkam,13.0294745,80.168324
370969700,Moon%20%lite,13.0249393,80.1768338
370969702,Moon%20%lite,13.0246916,80.1768125
373156194,,12.9057495,80.1678369
373156197,Jayanagar%20%Bus%20%Stop,12.8901528,80.1844457
373156202,,12.9075148,80.1986767
373169717,,13.1587549,80.2984032
373169886,,13.1592829,80.3021668
378688565,Woodlands,13.0513415,80.2516342
378688568,Woodlands,13.0514752,80.2518854
384486247,Purasawalkam,13.0799588,80.2547872
386002530,,13.0303695,80.238274
386002531,,13.0295543,80.2437738
389516314,SIET,13.0368739,80.2466823
389964617,KK%20%Nagar%20%West%20%MTC%20%Terminus,13.0441881,80.1936767
391823865,Kathipara,13.0073565,80.2018029
391823888,Butt%20%Road,13.0073386,80.1969623
393765035,,13.0852627,80.2854922
393765044,Law%20%College,13.0875965,80.2852522
393765046,%0b89%%0baf%%0bb0%%0bcd%%20%%0ba8%%0bc0%%0ba4%%0bbf%%0bae%%0ba9%%0bcd%%0bb1%%0bae%%0bcd%,13.0885188,80.2881787
400900464,,13.0470241,80.2119327
400900776,,13.0489528,80.207122
401769773,NGO%20%Colony,12.9947061,80.206537
